CD_UF;NM_UF;CD_MUNIC;NM_MUNIC;ID_LI;CD_LI;OCORRENCIA;NM_LI;CD_SETOR;SITUACAO;CD_SIT;CD_TIPO;CD_AGLOM;NM_AGLOM;CD_TI;TI_FUNAI;NM_TI;FASE;C_CR_FUNAI;N_CR_FUNAI;ALD_FUNAI;VAL_FUNAI;ALD_SIASI;VAL_SIASI;AMZ_LEG;LAT;LONG
13;Amazonas;1302306;Jutaí;1302342;1311151;1;Aldeia Indígena Boca do Biá;130230605000154;Rural;8;;;;9300;38501;Rio Biá;Regularizada;19017;Alto Solimões;3768;1;49476;2;1;-3.607385277664243;-67.505773250000004
13;Amazonas;1301100;Careiro;1302046;1311766;1;Aldeia Indígena Itaboca;130110005000110;Rural;8;5;130110000014;Aldeia Indígena do Lago Castanho 1;;;;;;;;;;;1;-3.740126360934349;-60.43168136111112
51;Mato Grosso;5101902;Brasnorte;5100952;5110275;1;Terra Indígena Manoki;510190205000052;Rural;8;;;;;;;;;;;;;;1;-12.662195405146006;-57.7284497940035
12;Acre;1200500;Sena Madureira;1200425;1210138;1;Aldeia Indígena Igarapé Preto;120050005000123;Rural;8;5;120050000017;Aldeia Indígena Igarapé Preto;;;;;;;4862;1;47430;2;1;-9.186679957253252;-69.22321197882246
12;Acre;1200336;Mâncio Lima;1200448;1210317;2;Aldeia Indígena Novo Recreio;120033605000053;Rural;8;5;120033600011;Aldeia Indígena Novo Recreio;;;;;;;3335;1;48534;1;1;-7.502286208228278;-73.47167037494104
13;Amazonas;1303809;São Gabriel da Cachoeira;1302347;1311059;1;Aldeia Indígena Uirapixuna;130380905000167;Rural;8;5;130380900174;Aldeia Indígena Maloca Uirapixuna;;;;;;;4982;2;49963;2;1;0.584329171972829;-69.81589251777545
13;Amazonas;1303569;Rio Preto da Eva;1302418;1312398;1;Aldeia Indígena Beija-Flor 3;130356905000100;Rural;7;5;130356900023;Aldeia Indígena do Ramal do ZF9;;;;;;;2409;1;52162;1;1;-2.664833741387138;-59.45650182693321
13;Amazonas;1302553;Manaquiri;1302561;1311773;1;Aldeia Indígena Vista Alegre;130255305000102;Rural;8;5;130255300050;Aldeia Indígena Vista Alegre 2;;;;;;;301;1;49085;1;1;-3.708855505105705;-60.482909626889764
13;Amazonas;1303809;São Gabriel da Cachoeira;1302599;1311931;1;Aldeia Indígena Umari;130380905000247;Rural;8;5;130380900210;Aldeia Indígena Umari Cachoeira;;;;;;;2560;2;47419;2;1;0.71890882484097;-69.17847198258957
13;Amazonas;1300300;Autazes;1302710;1312444;3;Aldeia Indígena Lago do Soares;130030005000116;Rural;8;5;130030000106;Aldeia Indígena do Lago do Soares;;;;;;;2446;1;49105;1;1;-3.474114147183102;-58.96354952622395
13;Amazonas;1303809;São Gabriel da Cachoeira;1302794;1311991;1;Aldeia Indígena São Miguel (Rio Papuri);130380905000456;Rural;8;4;;;;;;;;;3266;1;47567;2;1;0.543180431852559;-70.0054003467114
13;Amazonas;1300607;Benjamin Constant;1305120;1311609;6;Bom Jardim;130060705000086;Urbana;2;;;;;;;;;;4982;2;49963;2;1;-4.378378919807189;-69.99990295542783
16;Amapá;1600154;Pedra Branca do Amapari;1600128;1610018;1;Aldeia Indígena Aruwaity;160015405000024;Rural;5;5;160015400011;Aldeia Indígena Aruwaity;;;;;;;232;1;;;1;1.363621098887311;-52.72590610092286
21;Maranhão;2104800;Grajaú;2100737;2110648;1;Aldeia Indígena Sabonete do Leão;210480005000037;Rural;5;;210480000012;Sabonete;;;;;;;;;50232;1;1;-5.592884253717802;-45.71827417943695
11;Rondônia;1100809;Candeias do Jamari;1100057;1110173;1;Aldeia Indígena Byyjyty Osop Aky;110080920000006;Rural;8;5;110080900003;Aldeia Indígena Byyjyty Osop Aky;;;;;;;4905;1;48514;1;1;-9.29127966668097;-63.7785739444444
11;Rondônia;1100205;Porto Velho;1100063;1110081;1;Comunidade Indígena Semeiam / Belmonte;110020505000207;Rural;5;5;110020500052;Comunidade Indígena Semeiam;;;;;;;;;;;1;-8.69513605556892;-63.9126727777777
11;Rondônia;1100205;Porto Velho;1100107;1110043;1;Aldeia Indígena Juari;110020505000168;Rural;8;5;110020500042;Aldeia Indígena Juari;;;;;;;;;47213;1;1;-9.1924553055697;-63.9471590277777
11;Rondônia;1100205;Porto Velho;1100149;1110217;1;Comunidade Ribeirinha Cavalcante;110020515000010;Rural;5;5;110020500044;Aldeia Indígena Cavalcante;;;;;;;;;;;1;-8.380443888901763;-63.4142560833333
11;Rondônia;1101492;São Francisco do Guaporé;1100156;1110012;1;Aldeia Indígena Palhal;110149205000035;Rural;8;5;110149200004;Aldeia Indígena Palhal;;;;;;;3484;1;50678;1;1;-12.4072090000192;-63.0207786666666
11;Rondônia;1100205;Porto Velho;1100161;1110217;2;Comunidade Ribeirinha Cavalcante;110020515000010;Rural;5;5;110020500044;Aldeia Indígena Cavalcante;;;;;;;;;;;1;-8.38277777779065;-63.4135828611111
11;Rondônia;1100924;Chupinguaia;1100187;1110144;1;Linha 135;110092405000029;Rural;8;;;;;;;;;;3239;2;;;1;-12.744020749611439;-60.81104549999999
11;Rondônia;1100080;Costa Marques;1100216;1110061;1;Biriba;110008005000027;Rural;8;;;;;;;;;;3239;2;;;1;-12.4223951107317;-64.26193913888889
11;Rondônia;1100122;Ji-Paraná;1100231;1110200;1;Linha 2;110012225000003;Rural;8;;;;;;;;;;;;;;1;-11.082293888548126;-61.996864888888894
11;Rondônia;1100106;Guajará-Mirim;1100239;1110014;1;Nova Colônia;110010605000065;Rural;8;;;;;;;;;;;;;;1;-10.962862638551615;-65.1062398611111
11;Rondônia;1100189;Pimenta Bueno;1100261;1110025;1;Aldeia Indígena Camaru Akalakamaaj;110018915000024;Rural;8;5;110018900017;Aldeia Indígena Tupimondé;;;;;;;3239;2;;;1;-11.5161478801571;-60.44401215
11;Rondônia;1100189;Pimenta Bueno;1100265;1110166;1;Aldeia Indígena Maraba;110018915000007;Rural;8;;;;;;;;;;3890;2;52242;2;1;-11.575913591753444;-60.448331782912405
11;Rondônia;1101500;Seringueiras;1100270;1110185;1;Aldeia Indígena Aperoi;110150005000011;Rural;8;;;;;;;;;;3239;2;;;1;-11.938671333333332;-63.2499185
11;Rondônia;1100205;Porto Velho;1100318;1110224;1;Aldeia Indígena Kassupá Salamae;110020505000171;Urbana;2;5;110020500043;Aldeia Indígena Kassupá-Salamãe;;;;;;;;;49473;1;1;-8.79703744445797;-63.83980375
11;Rondônia;1100122;Ji-Paraná;1100333;1110098;1;Aldeia Indígena José Antônio;110012205000063;Urbana;1;;;;;;;;;;;;;;1;-10.880481027777778;-61.95319366666667
11;Rondônia;1101492;São Francisco do Guaporé;1100341;1110192;1;Comunidade dos Miguelenos;110149210000001;Urbana;1;;;;;;;;;;;;;;1;-12.294095599999999;-63.39768666666667
12;Acre;1200435;Santa Rosa do Purus;1200008;1210081;1;Aldeia Indígena Minas Gerais;120043505000081;Rural;8;5;120043500059;Aldeia Indígena Minas Gerais;;;;;;;3239;2;;;1;-9.448510777792333;-70.50992955555556
12;Acre;1200435;Santa Rosa do Purus;1200050;1210204;1;Aldeia Indígena Estirão;120043505000068;Rural;8;5;120043500049;Aldeia Indígena Estirão II Jaminawá;;;;;;;1368;2;49657;1;1;-9.474457861125703;-70.52089861111111
12;Acre;1200500;Sena Madureira;1200062;1210132;1;Aldeia Indígena Extrema do Caeté;120050005000125;Rural;8;5;120050000019;Aldeia Indígena Extrema do Caeté;;;;;;;4861;1;47987;1;1;-9.189764888903037;-69.18017922222222
12;Acre;1200302;Feijó;1200094;1210062;1;Aldeia Indígena Mae Txanayá;120030205000151;Rural;8;5;120030200046;Aldeia Indígena Mãe Txanayá;;;;;;;370;1;;;1;-8.392912277790678;-70.48077961111112
12;Acre;1200351;Marechal Thaumaturgo;1200107;1210142;1;Aldeia Indígena Pau Furado;120035105000071;Rural;8;5;120035100026;Aldeia Indígena Pau Furado;;;;;;;3299;1;52690;1;1;-9.429322694458966;-72.71104761111113
12;Acre;1200500;Sena Madureira;1200113;1210106;1;Comunidade Indígena Santa Rosa;120050005000128;Rural;8;5;120050000021;Aldeia Indígena Santa Rosa ou Guajará;;;;;;;4881;1;47868;1;1;-10.422080083349424;-69.65303305555555
12;Acre;1200500;Sena Madureira;1200129;1210292;1;Aldeia Indígena Boca do Canamari;120050005000126;Rural;8;5;120050000020;Aldeia Indígena Boca do Canamari;;;;;;;4859;1;50945;1;1;-9.181712583347467;-69.16441077777777
12;Acre;1200351;Marechal Thaumaturgo;1200140;1210144;1;Aldeia Indígena Nova Shaquinti;120035105000072;Rural;8;5;120035100027;Aldeia Indígena Nova Shaquinti;;;;;;;3300;1;;;1;-9.434672000014533;-72.69461872222223
12;Acre;1200500;Sena Madureira;1200162;1210156;1;Aldeia Indígena Boca do Riozinho;120050005000150;Rural;8;5;120050000025;Aldeia Indígena Boca do Riozinho;;;;;;;1400;2;52523;1;1;-10.348408444460423;-69.58623569444444
12;Acre;1200500;Sena Madureira;1200167;1210269;1;Aldeia Indígena Buenos Aires;120050005000124;Rural;8;5;120050000018;Aldeia Indígena Buenos Aires;;;;;;;4860;1;51216;1;1;-9.195984805569712;-69.20492816666666
12;Acre;1200435;Santa Rosa do Purus;1200176;1210004;1;Aldeia Indígena Estirão Novo;120043505000069;Rural;8;5;120043500050;Aldeia Indígena Estirão Novo;;;;;;;3239;2;;;1;-9.48018255557016;-70.51106041666667
12;Acre;1200500;Sena Madureira;1200246;1210126;1;Aldeia Indígena Cafarnaum;120050005000154;Rural;8;5;120050000032;Aldeia Indígena Cafarnaum;;;;;;;3239;2;;;1;-10.363330916682665;-69.59513061111112
12;Acre;1200393;Porto Walter;1200247;1210274;1;Sem Denominação do Seringal Nazaré;120039305000071;Rural;8;5;120039300016;Aldeia Indígena Sem Denominação;;;;;;;;;;;1;-8.247964444457116;-72.75328955555555
12;Acre;1200351;Marechal Thaumaturgo;1200258;1210348;1;Aldeia Indígena Glória de Deus;120035105000075;Rural;8;5;120035100030;Aldeia Indígena Glória de Deus;;;;;;;3302;1;48612;1;1;-9.45232977779234;-72.59154491666665
12;Acre;1200500;Sena Madureira;1200260;1210287;1;Aldeia Indígena Volta Rápida;120050005000163;Rural;8;5;120050000037;Aldeia Indígena Volta Rápida;;;;;;;3239;2;;;1;-9.17733825001413;-69.17449975
12;Acre;1200328;Jordão;1200272;1210228;1;Aldeia Indígena Duas Nações;120032805000098;Rural;8;5;120032800053;Aldeia Indígena Duas Nações;;;;;;;3239;2;;;1;-9.176171972236348;-71.95512713888888
12;Acre;1200203;Cruzeiro do Sul;1200276;1210301;1;Sem Denominação;120020305000135;Rural;8;;;;;;;;;;;;;;1;-7.60563736112278;-72.62231658333333
12;Acre;1200609;Tarauacá;1200290;1210279;3;Aldeia Indígena Pinuiá;120060905000174;Rural;8;5;120060900034;Aldeia Indígena 27 ou Pinuiá;;;;;;;352;1;;;1;-8.113113333345792;-70.78168511111112
12;Acre;1200344;Manoel Urbano;1200299;1210050;1;Aldeia Indigena Nova Jerusalém;120034405000037;Rural;8;5;120034400007;Aldeia Indigena Nova Jerusalem;;;;;;;3239;2;;;1;-9.383403888903338;-69.94447525
12;Acre;1200336;Mâncio Lima;1200309;1210354;1;Aldeia Indígena Campú;120033605000049;Rural;8;5;120033600008;Aldeia Indígena Campú;;;;;;;3342;1;47149;1;1;-7.448939305566984;-73.65078525000001
12;Acre;1200351;Marechal Thaumaturgo;1200316;1210179;1;Sem Denominação do Rio Caipora;120035105000137;Rural;8;5;120035100046;Aldeia Indígena Sem Denominação;;;;;;;;;;;1;-9.30374569445877;-72.67291555555556
12;Acre;1200351;Marechal Thaumaturgo;1200323;1210348;2;Aldeia Indígena Glória de Deus;120035105000075;Rural;8;5;120035100030;Aldeia Indígena Glória de Deus;;;;;;;3302;1;48612;1;1;-9.454442777792345;-72.58793386111113
12;Acre;1200435;Santa Rosa do Purus;1200325;1210209;1;Aldeia Indígena Estirão do Capitão;120043505000070;Rural;8;5;120043500051;Aldeia Indígena Estirão do Capitão;;;;;;;3239;2;;;1;-9.487107277792392;-70.50790708333334
12;Acre;1200351;Marechal Thaumaturgo;1200327;1210325;1;Aldeia Indígena Kuntamana;120035105000069;Rural;8;5;120035100025;Aldeia Indígena Kuntamana;;;;;;;3239;2;;;1;-9.049501222236149;-72.27460680555555
12;Acre;1200351;Marechal Thaumaturgo;1200331;1210111;1;Aldeia Indígena Sete Estrelas;120035105000068;Rural;8;5;120035100024;Aldeia Indígena Sete Estrelas;;;;;;;2074;2;50652;1;1;-9.061533111125058;-72.26760952777778
12;Acre;1200336;Mâncio Lima;1200336;1210317;1;Aldeia Indígena Novo Recreio;120033605000046;Rural;8;5;120033600012;Aldeia Indígena Novo Recreio I;;;;;;;3335;1;48534;1;1;-7.451094722233654;-73.438956944444442
12;Acre;1200351;Marechal Thaumaturgo;1200348;1210163;1;Sem Denominação do Rio Breu;120035105000110;Rural;8;;;;;;;;;;;;;;1;-9.441233888516404;-72.62544415283413
12;Acre;1200351;Marechal Thaumaturgo;1200351;1210105;1;Jacobina;120035105000110;Rural;8;;;;;;;;;;3239;2;;;1;-9.46774840759751;-72.55988223611112
12;Acre;1200609;Tarauacá;1200352;1210286;1;Coqueiro;120060905000149;Rural;8;;;;;;;;;;3239;2;;;1;-8.435665666404422;-70.84243280555556
12;Acre;1200351;Marechal Thaumaturgo;1200359;1210028;1;Sem Denominação do Rio Bagé;120035105000095;Rural;8;;;;;;;;;;;;;;1;-8.855155638614026;-72.31863066666665
12;Acre;1200203;Cruzeiro do Sul;1200360;1210319;1;Estirao São Luiz;120020305000102;Rural;8;;;;;;;;;;3239;2;;;1;-7.597623944207578;-72.62888133333334
12;Acre;1200435;Santa Rosa do Purus;1200362;1210270;1;Jurimago;120043505000089;Rural;8;;;;;;;;;;3239;2;;;1;-9.574783832934372;-70.55624547222223
12;Acre;1200302;Feijó;1200365;1210324;1;Aldeia Indígena Santarém;120030205000169;Rural;8;5;120030200050;Aldeia Indígena Santarém;;;;;;;3076;1;49482;1;1;-9.444973744533078;-71.307472654359188
12;Acre;1200351;Marechal Thaumaturgo;1200367;1210259;1;Comunidade Ribeirinha Alegria;120035105000103;Rural;8;;;;;;;;;;3239;2;;;1;-8.981916304968768;-72.4936260698495
12;Acre;1200609;Tarauacá;1200368;1210214;1;Sem Denominação do Seringal Ouro Preto;120060905000013;Rural;8;;;;;;;;;;;;;;1;-8.561050110845088;-70.90450286111113
12;Acre;1200500;Sena Madureira;1200369;1210060;1;Aldeia Indígena Mulateiro;120050005000158;Rural;8;5;120050000035;Aldeia Indígena Mulateiro;;;;;;;4880;1;;;1;-10.41925520169766;-69.67274638884962
12;Acre;1200351;Marechal Thaumaturgo;1200371;1210118;1;Comunidade Ribeirinha Tapahuna;120035105000107;Rural;8;;;;;;;;;;3239;2;;;1;-9.124595027494841;-72.69659488888891
12;Acre;1200336;Mâncio Lima;1200374;1210309;1;Aldeia Indígena Novo Recreio 3;120033605000054;Rural;8;5;120033600017;Aldeia Indígena Novo Recreio III;;;;;;;;;;;1;-7.52803184687372;-73.48235808324253
12;Acre;1200351;Marechal Thaumaturgo;1200376;1210224;1;Foz do Tejo;120035105000116;Rural;8;;;;;;;;;;3239;2;;;1;-9.072271027040184;-72.254182
12;Acre;1200054;Assis Brasil;1200378;1210352;1;Sem Denominação;120005405000008;Rural;8;;;;;;;;;;;;;;1;-10.544304555230532;-69.83512838888888
12;Acre;1200336;Mâncio Lima;1200380;1210354;2;Aldeia Indígena Campú;120033605000049;Rural;8;5;120033600008;Aldeia Indígena Campú;;;;;;;3342;1;47149;1;1;-7.445969053531926;-73.65783891666668
